model,split,mape,rmse
Prophet,test,1.1403759587160307,12.06774744127584
XGBoost,test,2.229114985987308,21.81526664439242
LightGBM,test,2.4272515602401388,23.437605611089516
SARIMA,test,3.7769429667419447,37.22060101417439
SeasonalNaive,test,3.800652468067827,37.72434263704618
Prophet,val,1.0000444363102523,10.650752333625835
XGBoost,val,1.1157052225791395,11.92981984247165
LightGBM,val,1.1427254353560963,12.29409552739134
SeasonalNaive,val,3.9290586778307364,37.72942603646517
SARIMA,val,3.9883263492951966,37.866459107434345
