colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,mape,rmse,status
0.8,0.03,3,1,300,0.8,1.0600530528040475,11.39513892096467,ok
0.8,0.03,3,1,300,0.9,1.073526335477742,11.525545465029147,ok
0.8,0.03,3,1,300,1.0,1.0742078492038443,11.495581368539042,ok
0.8,0.03,3,1,600,0.8,1.070439589630076,11.520006584159908,ok
0.8,0.03,3,1,600,0.9,1.0871760119488425,11.711180914099556,ok
0.8,0.03,3,1,600,1.0,1.0905793163157098,11.708330441694011,ok
0.8,0.03,3,1,900,0.8,1.0836650981779021,11.644571596789289,ok
0.8,0.03,3,1,900,0.9,1.10056478044512,11.859677422197882,ok
0.8,0.03,3,1,900,1.0,1.1072203287161928,11.919570417341133,ok
0.8,0.03,3,5,300,0.8,1.0541209647500553,11.336933156733608,ok
0.8,0.03,3,5,300,0.9,1.0623304282559618,11.371219036747144,ok
0.8,0.03,3,5,300,1.0,1.0622475927808075,11.374441268350491,ok
0.8,0.03,3,5,600,0.8,1.060040129838968,11.441338855032237,ok
0.8,0.03,3,5,600,0.9,1.0691062644794087,11.487312454513477,ok
0.8,0.03,3,5,600,1.0,1.0772708231598442,11.564165303403618,ok
0.8,0.03,3,5,900,0.8,1.0712580686331494,11.559931881476349,ok
0.8,0.03,3,5,900,0.9,1.074982846130902,11.60155013272543,ok
0.8,0.03,3,5,900,1.0,1.100776088569075,11.812110680849935,ok
0.8,0.03,3,10,300,0.8,1.060582142169317,11.378984282749277,ok
0.8,0.03,3,10,300,0.9,1.060192070915992,11.346034132598097,ok
0.8,0.03,3,10,300,1.0,1.0635755450065014,11.383041167869504,ok
0.8,0.03,3,10,600,0.8,1.0697890257478249,11.48901658175349,ok
0.8,0.03,3,10,600,0.9,1.0726883119404513,11.512632425717337,ok
0.8,0.03,3,10,600,1.0,1.0785214447678826,11.561127271384791,ok
0.8,0.03,3,10,900,0.8,1.0774814129343668,11.563862389763347,ok
0.8,0.03,3,10,900,0.9,1.083300980149555,11.622003593539912,ok
0.8,0.03,3,10,900,1.0,1.099293316569506,11.75868630153048,ok
0.8,0.03,5,1,300,0.8,1.107574187404948,11.862026970085964,ok
0.8,0.03,5,1,300,0.9,1.108372988583515,11.935927592427046,ok
0.8,0.03,5,1,300,1.0,1.1090124680838112,11.933124741320906,ok
0.8,0.03,5,1,600,0.8,1.124272531108616,12.02720699868959,ok
0.8,0.03,5,1,600,0.9,1.1288230136776578,12.141262897803545,ok
0.8,0.03,5,1,600,1.0,1.144009764759529,12.221889666081411,ok
