learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,mape,rmse,status
0.03,-1,10,300,31,1.1250272804710326,11.970048965937414,ok
0.03,-1,10,300,63,1.1627629573573721,12.337739070667288,ok
0.03,-1,10,300,127,1.1901426015382202,12.565620669302518,ok
0.03,-1,10,600,31,1.1492689347453369,12.186688195138926,ok
0.03,-1,10,600,63,1.1843476220755802,12.554769607261944,ok
0.03,-1,10,600,127,1.19943051967113,12.67772829752739,ok
0.03,-1,10,900,31,1.1717942980105793,12.393049829746085,ok
0.03,-1,10,900,63,1.1931861780158532,12.635680148561276,ok
0.03,-1,10,900,127,1.2008183904668106,12.702206532820098,ok
0.03,-1,20,300,31,1.128072806745124,12.02251986484035,ok
0.03,-1,20,300,63,1.1604488366209889,12.36913642438329,ok
0.03,-1,20,300,127,1.1713660713422462,12.515591081139217,ok
0.03,-1,20,600,31,1.1563266035532027,12.374388248804651,ok
0.03,-1,20,600,63,1.1824755880956777,12.624855745519602,ok
0.03,-1,20,600,127,1.1909499996098634,12.673654562756699,ok
0.03,-1,20,900,31,1.1706059666678312,12.518976408853272,ok
0.03,-1,20,900,63,1.1934640627295368,12.728921003115552,ok
0.03,-1,20,900,127,1.198377909517617,12.732988374066531,ok
0.03,-1,50,300,31,1.1162967915864905,11.926300624299259,ok
0.03,-1,50,300,63,1.1209567293511045,12.006631593781623,ok
0.03,-1,50,300,127,1.1209567293511045,12.006631593781623,ok
0.03,-1,50,600,31,1.137141075194133,12.117996818874339,ok
0.03,-1,50,600,63,1.1464053338316615,12.271983947851039,ok
0.03,-1,50,600,127,1.1464053338316615,12.271983947851039,ok
0.03,-1,50,900,31,1.1540789703235688,12.309777676385314,ok
0.03,-1,50,900,63,1.1662739179977022,12.452839661628467,ok
0.03,-1,50,900,127,1.1662739179977022,12.452839661628467,ok
0.03,8,10,300,31,1.1298755386050936,12.05244671221624,ok
0.03,8,10,300,63,1.1633293582957933,12.30960695265698,ok
0.03,8,10,300,127,1.1661413471665212,12.371196349376552,ok
0.03,8,10,600,31,1.15331142715703,12.344519222454394,ok
0.03,8,10,600,63,1.1827277561341223,12.518080035962624,ok
0.03,8,10,600,127,1.1880087512246376,12.577547800174855,ok
0.03,8,10,900,31,1.1782207872673234,12.578369725846892,ok
0.03,8,10,900,63,1.1893217708605048,12.63516523415066,ok
0.03,8,10,900,127,1.209931295112237,12.766922745120544,ok
0.03,8,20,300,31,1.127839538467756,12.025577883248305,ok
0.03,8,20,300,63,1.1335293244374407,12.164185907013179,ok
0.03,8,20,300,127,1.1389252042219866,12.152323587218662,ok
0.03,8,20,600,31,1.1541051360850798,12.265939485092602,ok
0.03,8,20,600,63,1.149272653574002,12.362152397079289,ok
0.03,8,20,600,127,1.1588032151331351,12.358432828992846,ok
0.03,8,20,900,31,1.1774745530770312,12.488087488450223,ok
0.03,8,20,900,63,1.1647298813412825,12.511408680540923,ok
0.03,8,20,900,127,1.1706466865371505,12.465334432455089,ok
0.03,8,50,300,31,1.119610496282596,11.911187429800266,ok
0.03,8,50,300,63,1.1243201672257672,11.983246468738653,ok
0.03,8,50,300,127,1.1243201672257672,11.983246468738653,ok
0.03,8,50,600,31,1.1220122033748887,11.971108725964333,ok
0.03,8,50,600,63,1.1244940945110269,12.025586444879563,ok
0.03,8,50,600,127,1.1244940945110269,12.025586444879563,ok
0.03,8,50,900,31,1.1364633821340295,12.133253040834695,ok
0.03,8,50,900,63,1.1316235989329668,12.121749200541364,ok
0.03,8,50,900,127,1.1316235989329668,12.121749200541364,ok
0.03,12,10,300,31,1.1280233384188587,12.033381790703691,ok
0.03,12,10,300,63,1.1657269590479507,12.351900352236934,ok
0.03,12,10,300,127,1.1815538452281953,12.466448697926136,ok
0.03,12,10,600,31,1.1533676804720907,12.314077058933394,ok
0.03,12,10,600,63,1.1825452821615159,12.52390200660449,ok
0.03,12,10,600,127,1.1922084465849714,12.56165410942622,ok
0.03,12,10,900,31,1.1795362841342967,12.577887816215636,ok
0.03,12,10,900,63,1.1963498549698608,12.638110829503331,ok
0.03,12,10,900,127,1.1985521474604646,12.636150780615091,ok
0.03,12,20,300,31,1.1285113517117684,12.028158339498109,ok
0.03,12,20,300,63,1.150052126018259,12.245460024897506,ok
0.03,12,20,300,127,1.1560358097488013,12.359582780998357,ok
0.03,12,20,600,31,1.1553748668632946,12.332275535315684,ok
0.03,12,20,600,63,1.1703800935532664,12.452549602388638,ok
0.03,12,20,600,127,1.1764229854330832,12.55415292523487,ok
0.03,12,20,900,31,1.1662960022398468,12.440395117698342,ok
0.03,12,20,900,63,1.1754704741431357,12.52480132897073,ok
0.03,12,20,900,127,1.1859345834870036,12.64374735700479,ok
0.03,12,50,300,31,1.1171594899140302,11.941662549977734,ok
0.03,12,50,300,63,1.1232678498767894,11.98705584089112,ok
0.03,12,50,300,127,1.1232678498767894,11.98705584089112,ok
0.03,12,50,600,31,1.1206143694383235,12.001676268954405,ok
0.03,12,50,600,63,1.1229842802816812,12.052657522619679,ok
0.03,12,50,600,127,1.1229842802816812,12.052657522619679,ok
0.03,12,50,900,31,1.1349972580473633,12.145077549178442,ok
0.03,12,50,900,63,1.1338118002629094,12.156001331716967,ok
0.03,12,50,900,127,1.1338118002629094,12.156001331716967,ok
0.05,-1,10,300,31,1.1555205362432828,12.30724911966134,ok
0.05,-1,10,300,63,1.1849803066040816,12.635378209461932,ok
0.05,-1,10,300,127,1.1917051119217859,12.592748439651018,ok
0.05,-1,10,600,31,1.1921617965257698,12.640180485405796,ok
0.05,-1,10,600,63,1.2011572605592564,12.790046499213075,ok
0.05,-1,10,600,127,1.195299553040847,12.630092627820586,ok
0.05,-1,10,900,31,1.204209317726539,12.738122694547945,ok
0.05,-1,10,900,63,1.2046113086236634,12.819940836254567,ok
0.05,-1,10,900,127,1.1954328914171566,12.633823079774066,ok
0.05,-1,20,300,31,1.1427254353560963,12.29409552739134,ok
0.05,-1,20,300,63,1.1800278334211716,12.579671489294588,ok
0.05,-1,20,300,127,1.1661630771818672,12.534672590625616,ok
