changepoint_prior_scale,seasonality_mode,seasonality_prior_scale,mape,rmse,status
0.01,additive,1.0,1.0184332693118991,10.831106032881634,ok
0.01,additive,5.0,1.0184406709015281,10.831208237521876,ok
0.01,additive,10.0,1.0190840114091724,10.837291583065529,ok
0.01,multiplicative,1.0,1.022185305177577,10.863270060135374,ok
0.01,multiplicative,5.0,1.0188988079795636,10.831361346185332,ok
0.01,multiplicative,10.0,1.018932366691233,10.831656639030165,ok
0.05,additive,1.0,1.0012742398955057,10.662024843381216,ok
0.05,additive,5.0,1.001358418959324,10.662850896602693,ok
0.05,additive,10.0,1.0013452094922202,10.662760441405622,ok
0.05,multiplicative,1.0,1.0024533835484668,10.659237662143756,ok
0.05,multiplicative,5.0,1.0026844111050461,10.661890263066505,ok
0.05,multiplicative,10.0,1.0036048125081336,10.672165751894289,ok
0.1,additive,1.0,1.0003386165698447,10.65251763868529,ok
0.1,additive,5.0,1.0000956086176789,10.650026053059957,ok
0.1,additive,10.0,0.9999991569074008,10.64890058679075,ok
0.1,multiplicative,1.0,1.0023319657897547,10.658465569632655,ok
0.1,multiplicative,5.0,1.0014323392262885,10.648023912062987,ok
0.1,multiplicative,10.0,1.0021554830225887,10.656462394862286,ok
0.5,additive,1.0,0.9989746756675945,10.639529509772652,ok
0.5,additive,5.0,0.9988851107230693,10.63835489774114,ok
0.5,additive,10.0,1.0000444363102523,10.650752333625835,ok
0.5,multiplicative,1.0,1.0028991143106416,10.669655207410996,ok
0.5,multiplicative,5.0,1.0021769390895816,10.66196471133148,ok
0.5,multiplicative,10.0,1.0015258828481244,10.656586882287234,ok
