Date,y,dayofweek,month,dayofyear,weekofyear,is_weekend,lag_1,lag_7,lag_14,lag_28,lag_365,roll_mean_7,roll_mean_28
2011-01-01,833,5,1,1,52,1,822.0,812.0,816.0,792.0,801.0,816.5714285714286,805.6071428571429
2011-01-02,800,6,1,2,52,1,833.0,799.0,819.0,802.0,810.0,819.5714285714286,807.0714285714286
2011-01-03,820,0,1,3,1,0,800.0,831.0,803.0,783.0,818.0,819.7142857142857,807.0
2011-01-04,807,1,1,4,1,0,820.0,801.0,811.0,785.0,796.0,818.1428571428571,808.3214285714286
2011-01-05,811,2,1,5,1,0,807.0,823.0,805.0,792.0,808.0,819.0,809.1071428571429
2011-01-06,820,3,1,6,1,0,811.0,828.0,808.0,808.0,812.0,817.2857142857143,809.7857142857143
2011-01-07,807,4,1,7,1,0,820.0,822.0,803.0,799.0,830.0,816.1428571428571,810.2142857142857
2011-01-08,828,5,1,8,1,1,807.0,833.0,812.0,789.0,812.0,814.0,810.5
2011-01-09,833,6,1,9,1,1,828.0,800.0,799.0,811.0,817.0,813.2857142857143,811.8928571428571
2011-01-10,807,0,1,10,2,0,833.0,820.0,831.0,799.0,832.0,818.0,812.6785714285714
2011-01-11,823,1,1,11,2,0,807.0,807.0,801.0,805.0,834.0,816.1428571428571,812.9642857142857
2011-01-12,844,2,1,12,2,0,823.0,811.0,823.0,790.0,826.0,818.4285714285714,813.6071428571429
2011-01-13,823,3,1,13,2,0,844.0,820.0,828.0,808.0,822.0,823.1428571428571,815.5357142857143
2011-01-14,832,4,1,14,2,0,823.0,807.0,822.0,813.0,811.0,823.5714285714286,816.0714285714286
2011-01-15,847,5,1,15,2,1,832.0,828.0,833.0,816.0,836.0,827.1428571428571,816.75
2011-01-16,827,6,1,16,2,1,847.0,833.0,800.0,819.0,841.0,829.8571428571429,817.8571428571429
2011-01-17,846,0,1,17,3,0,827.0,807.0,820.0,803.0,818.0,829.0,818.1428571428571
2011-01-18,852,1,1,18,3,0,846.0,823.0,807.0,811.0,827.0,834.5714285714286,819.6785714285714
2011-01-19,829,2,1,19,3,0,852.0,844.0,811.0,805.0,822.0,838.7142857142857,821.1428571428571
2011-01-20,846,3,1,20,3,0,829.0,823.0,820.0,808.0,817.0,836.5714285714286,822.0
2011-01-21,852,4,1,21,3,0,846.0,832.0,807.0,803.0,834.0,839.8571428571429,823.3571428571429
2011-01-22,829,5,1,22,3,1,852.0,847.0,828.0,812.0,825.0,842.7142857142857,825.1071428571429
2011-01-23,842,6,1,23,3,1,829.0,827.0,833.0,799.0,821.0,840.1428571428571,825.7142857142857
2011-01-24,853,0,1,24,4,0,842.0,846.0,807.0,831.0,840.0,842.2857142857143,827.25
2011-01-25,849,1,1,25,4,0,853.0,852.0,823.0,801.0,812.0,843.2857142857143,828.0357142857143
2011-01-26,822,2,1,26,4,0,849.0,829.0,844.0,823.0,835.0,842.8571428571429,829.75
2011-01-27,842,3,1,27,4,0,822.0,846.0,823.0,828.0,833.0,841.8571428571429,829.7142857142857
2011-01-28,845,4,1,28,4,0,842.0,852.0,832.0,822.0,833.0,841.2857142857143,830.2142857142857
2011-01-29,858,5,1,29,4,1,845.0,829.0,847.0,833.0,833.0,840.2857142857143,831.0357142857143
2011-01-30,832,6,1,30,4,1,858.0,842.0,827.0,800.0,840.0,844.4285714285714,831.9285714285714
2011-01-31,839,0,1,31,5,0,832.0,853.0,846.0,820.0,826.0,843.0,833.0714285714286
2011-02-01,842,1,2,32,5,0,839.0,849.0,852.0,807.0,835.0,841.0,833.75
2011-02-02,852,2,2,33,5,0,842.0,822.0,829.0,811.0,822.0,840.0,835.0
2011-02-03,841,3,2,34,5,0,852.0,842.0,846.0,820.0,833.0,844.2857142857143,836.4642857142857
2011-02-04,862,4,2,35,5,0,841.0,845.0,852.0,807.0,835.0,844.1428571428571,837.2142857142857
2011-02-05,864,5,2,36,5,1,862.0,858.0,829.0,828.0,843.0,846.5714285714286,839.1785714285714
2011-02-06,864,6,2,37,5,1,864.0,832.0,842.0,833.0,833.0,847.4285714285714,840.4642857142857
2011-02-07,870,0,2,38,6,0,864.0,839.0,853.0,807.0,839.0,852.0,841.5714285714286
2011-02-08,859,1,2,39,6,0,870.0,842.0,849.0,823.0,839.0,856.4285714285714,843.8214285714286
2011-02-09,856,2,2,40,6,0,859.0,852.0,822.0,844.0,855.0,858.8571428571429,845.1071428571429
2011-02-10,856,3,2,41,6,0,856.0,841.0,842.0,823.0,840.0,859.4285714285714,845.5357142857143
2011-02-11,870,4,2,42,6,0,856.0,862.0,845.0,832.0,849.0,861.5714285714286,846.7142857142857
2011-02-12,868,5,2,43,6,1,870.0,864.0,858.0,847.0,845.0,862.7142857142857,848.0714285714286
2011-02-13,851,6,2,44,6,1,868.0,864.0,832.0,827.0,861.0,863.2857142857143,848.8214285714286
2011-02-14,857,0,2,45,7,0,851.0,870.0,839.0,846.0,853.0,861.4285714285714,849.6785714285714
2011-02-15,851,1,2,46,7,0,857.0,859.0,842.0,852.0,844.0,859.5714285714286,850.0714285714286
2011-02-16,880,2,2,47,7,0,851.0,856.0,852.0,829.0,842.0,858.4285714285714,850.0357142857143
2011-02-17,863,3,2,48,7,0,880.0,856.0,841.0,846.0,846.0,861.8571428571429,851.8571428571429
2011-02-18,859,4,2,49,7,0,863.0,870.0,862.0,852.0,843.0,862.8571428571429,852.4642857142857
2011-02-19,859,5,2,50,7,1,859.0,868.0,864.0,829.0,843.0,861.2857142857143,852.7142857142857
2011-02-20,880,6,2,51,7,1,859.0,851.0,864.0,842.0,849.0,860.0,853.7857142857143
